Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.15,0.00,0.00
0.31,0.00,0.00
0.47,0.00,0.00
0.64,0.39,0.17
0.80,4.31,0.60
0.96,7.55,0.11
1.11,12.08,-0.28
1.28,21.94,-0.59
1.43,32.63,-0.81
1.59,46.71,-0.90
1.74,63.31,-1.00
1.90,70.74,-4.61
2.06,77.06,6.08
2.22,89.83,9.52
2.37,99.02,13.19
2.53,104.46,14.82
2.69,109.00,16.06
2.86,109.87,16.25
3.01,109.05,16.08
3.17,107.88,15.81
3.33,106.38,15.43
3.49,104.53,14.99
3.64,102.73,14.59
3.80,101.50,14.37
3.96,100.73,14.25
4.12,100.07,14.16
4.29,99.91,14.14
4.43,99.96,14.15
4.59,101.67,14.40
4.75,102.51,14.54
4.91,103.01,14.63
5.06,103.43,14.71
5.22,103.57,14.74
5.38,103.63,14.75
5.54,103.66,14.76
5.69,103.69,14.76
5.85,103.71,14.77
6.01,103.73,14.77
6.16,103.74,14.77
6.33,103.76,14.77
6.49,103.77,14.78
6.65,103.78,14.78
6.81,103.79,14.78
6.96,103.79,14.78
7.12,103.80,14.78
7.30,103.81,14.78
7.45,103.81,14.79
7.60,103.81,14.79
7.76,103.81,14.79
7.92,103.81,14.79
8.08,103.81,14.79
8.23,103.81,14.79
8.39,103.81,14.79
8.56,101.43,14.33
8.72,98.83,13.97
8.89,96.50,14.15
9.03,99.28,11.10
9.19,100.80,7.05
9.35,100.85,6.30
9.51,101.55,5.32
9.66,102.06,3.76
9.82,103.31,-1.13
9.99,105.10,-6.33
10.15,106.27,-9.32
10.30,107.96,-14.78
10.46,110.39,-23.06
10.62,113.09,-30.97
10.78,115.67,-38.68
10.95,118.73,-46.36
11.10,120.73,-52.88
11.26,123.56,-63.81
11.42,127.58,-76.32
11.58,130.97,-90.03
11.73,134.73,-104.90
11.89,138.76,-119.37
12.05,142.67,-132.27
12.19,146.57,-145.24
12.35,150.51,-158.41
12.51,154.57,-171.01
12.67,158.18,-182.29
12.82,158.87,-196.65
12.98,156.81,-204.38
13.14,152.08,-215.62
13.30,149.86,-220.50
13.47,149.59,-221.44
13.62,149.91,-219.77
13.77,150.24,-218.10
13.94,150.64,-216.10
14.10,150.86,-214.91
14.25,151.04,-213.84
14.40,151.10,-213.45
14.56,151.11,-213.34
14.71,151.14,-213.19
14.87,151.18,-212.91
15.03,151.19,-212.86
15.20,151.20,-212.84
15.36,151.20,-212.83
15.51,151.20,-212.84
15.67,151.20,-212.89
15.83,151.19,-212.90
15.99,151.15,-213.32
16.14,151.07,-213.99
16.31,151.04,-214.21
16.47,151.02,-214.35
16.63,151.01,-214.45
16.78,151.00,-214.52
16.94,150.96,-214.83
17.10,150.86,-215.59
17.27,150.83,-215.81
17.41,150.82,-215.93
17.57,150.81,-216.00
17.73,150.80,-216.06
17.89,150.80,-216.11
18.04,150.79,-216.15
18.20,150.79,-216.18
18.36,150.79,-216.21
18.52,150.78,-216.24
18.68,150.78,-216.19
18.84,151.28,-212.71
19.00,151.69,-210.03
19.16,151.09,-209.53
19.32,146.58,-210.38
19.47,145.93,-210.67
19.63,144.49,-211.46
19.79,142.12,-212.84
19.95,138.63,-213.80
20.10,132.76,-214.81
20.26,125.04,-216.25
20.42,116.71,-218.49
20.56,107.47,-220.82
20.73,95.54,-223.85
20.89,81.98,-227.18
21.05,68.79,-231.60
21.21,59.32,-234.93
21.36,47.79,-238.85
21.52,37.47,-243.06
21.69,28.11,-246.61
21.84,17.56,-250.48
22.00,8.57,-253.88
22.16,-2.08,-257.58
22.32,-12.64,-261.49
22.48,-23.91,-265.20
22.63,-36.88,-269.35
22.79,-52.18,-270.61
22.95,-59.78,-268.45
23.11,-67.77,-266.52
23.28,-72.22,-265.80
23.42,-72.63,-265.76
23.58,-71.63,-265.73
23.74,-71.27,-265.73
23.90,-71.13,-265.73
24.05,-71.02,-265.72
24.21,-70.93,-265.72
24.37,-70.85,-265.72
24.52,-70.78,-265.72
24.68,-70.33,-265.68
24.84,-69.99,-265.65
25.01,-52.13,-265.18
25.17,-51.95,-265.53
25.32,-53.97,-265.47
25.48,-52.21,-268.76
25.64,-52.84,-265.69
25.80,-53.06,-262.99
25.96,-52.48,-262.55
26.12,-54.45,-258.73
26.28,-55.38,-257.83
26.44,-56.94,-254.09
26.60,-58.51,-248.33
26.75,-60.18,-243.94
26.91,-61.32,-240.43
27.06,-63.55,-233.02
27.23,-66.53,-223.44
27.38,-69.34,-214.86
27.54,-72.33,-205.89
27.70,-75.47,-194.79
27.87,-78.96,-181.88
28.01,-83.11,-168.24
28.18,-86.64,-156.65
28.34,-90.48,-144.18
28.50,-94.42,-132.72
28.65,-98.29,-120.46
28.81,-102.28,-107.42
28.97,-106.34,-94.76
29.13,-110.21,-82.97
29.28,-114.24,-69.93
29.44,-112.54,-57.02
29.60,-111.49,-51.91
29.76,-111.30,-47.83
29.92,-111.15,-45.18
30.07,-111.14,-44.30
30.23,-111.13,-44.70
30.39,-111.12,-45.36
30.55,-111.11,-45.68
30.70,-111.11,-45.80
30.87,-111.11,-45.93
31.03,-111.11,-46.06
31.17,-111.11,-46.16
31.33,-111.11,-46.23
31.49,-111.11,-46.29
31.65,-111.10,-46.34
31.82,-111.10,-46.38
31.96,-111.10,-46.41
32.13,-111.10,-46.47
32.30,-111.11,-46.53
32.44,-111.10,-46.55
32.60,-111.10,-46.57
32.76,-111.10,-46.58
32.92,-111.10,-46.59
33.07,-111.10,-46.61
33.23,-111.10,-46.62
33.39,-111.10,-46.64
33.55,-111.10,-46.66
33.70,-111.10,-46.68
33.86,-111.10,-46.70
34.02,-111.10,-46.71
34.19,-111.08,-54.98
34.36,-111.17,-63.92
34.50,-111.03,-61.07
34.66,-113.35,-62.14
34.82,-112.65,-62.11
34.99,-108.94,-61.74
35.14,-108.78,-62.42
35.30,-105.89,-60.89
35.46,-103.51,-58.86
35.62,-100.17,-57.55
35.78,-95.07,-56.11
35.94,-87.26,-55.21
36.10,-75.88,-52.90
36.25,-65.21,-50.39
36.40,-53.40,-47.46
36.56,-39.21,-43.62
36.73,-25.18,-39.59
36.88,-11.58,-35.61
37.03,2.05,-31.45
37.19,14.91,-27.21
37.35,27.38,-23.06
37.51,39.64,-18.87
37.66,52.01,-14.76
37.82,65.20,-10.47
37.99,79.02,-6.07
38.15,92.65,-1.78
38.31,108.00,-1.66
38.46,113.86,-3.34
38.63,119.13,-4.91
38.78,121.72,-5.45
38.95,121.82,-5.49
39.10,120.70,-5.45
39.26,119.26,-5.35
39.42,118.67,-5.32
39.58,118.49,-5.31
39.75,118.39,-5.30
39.89,118.32,-5.30
40.06,118.27,-5.29
40.21,118.22,-5.29
40.37,118.18,-5.29
40.52,118.15,-5.29
40.68,118.12,-5.28
40.84,118.09,-5.28
40.99,118.07,-5.28
41.15,118.05,-5.28
41.31,118.03,-5.28
41.48,109.10,-4.72
41.64,99.54,-4.39
41.79,102.50,-4.66
41.95,101.06,-2.06
42.11,100.89,-2.29
42.27,101.53,-5.47
42.42,100.72,-5.78
42.59,101.64,-8.33
42.74,104.48,-11.71
42.91,106.05,-15.14
43.07,106.70,-18.88
43.22,108.36,-26.32
43.38,110.69,-33.98
43.55,113.19,-41.05
43.71,115.98,-49.18
43.85,119.28,-58.79
44.01,122.83,-69.41
44.17,126.45,-81.54
44.33,130.40,-95.70
44.48,134.54,-110.89
44.64,138.59,-124.99
44.81,143.03,-139.37
44.98,147.39,-153.43
45.12,151.61,-166.90
45.29,155.82,-179.93
45.44,160.17,-192.89
45.60,164.30,-205.25
45.75,164.78,-219.04
45.91,162.76,-227.91
46.07,159.71,-238.47
46.23,158.89,-242.30
46.38,158.92,-241.76
46.53,158.95,-240.68
46.69,158.97,-240.40
46.85,158.97,-240.28
47.00,158.98,-240.20
47.16,158.98,-240.14
47.32,158.98,-240.09
47.47,158.98,-240.05
47.63,158.98,-240.02
47.79,158.98,-239.99
47.95,158.97,-239.78
48.10,158.97,-239.77
48.26,158.97,-239.77
48.42,158.97,-239.76
48.58,158.97,-239.76
48.73,158.97,-239.76
48.89,158.97,-239.75
49.05,158.97,-239.75
49.21,158.97,-239.75
49.35,158.97,-239.75
49.51,158.97,-239.74
49.67,158.97,-239.74
49.83,158.97,-239.74
49.98,158.97,-239.74
50.14,158.97,-239.74
50.30,158.97,-239.74
50.46,158.97,-239.73
50.63,159.05,-233.02
50.78,159.50,-219.65
50.95,159.26,-221.29
51.11,161.34,-220.45
51.26,161.71,-220.36
51.43,158.41,-220.56
51.58,157.69,-220.67
51.74,153.42,-221.61
51.90,151.01,-223.42
52.05,148.91,-224.31
52.21,142.90,-225.91
52.37,134.91,-227.78
52.54,128.90,-229.42
52.69,120.71,-231.47
52.85,109.88,-234.84
53.00,98.33,-238.02
53.16,86.65,-242.15
53.31,78.99,-244.98
53.47,69.58,-247.80
53.63,58.49,-251.70
53.79,48.41,-255.12
53.94,37.25,-258.74
54.10,26.68,-262.43
54.26,15.21,-265.93
54.43,2.99,-269.98
54.58,-8.52,-273.67
54.74,-21.48,-277.41
54.90,-36.46,-275.70
55.06,-42.01,-273.38
55.22,-47.05,-272.58
55.37,-49.85,-272.45
55.53,-50.85,-272.40
55.69,-51.03,-272.40
55.85,-50.71,-272.39
56.00,-50.11,-272.39
56.16,-49.85,-272.40
56.33,-49.67,-272.41
56.49,-49.50,-272.42
56.64,-49.35,-272.42
56.80,-49.24,-272.43
56.97,-49.15,-272.43
