Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,-0.75,0.01,-1.44
0.15,-0.77,0.01,-1.43
0.31,-0.79,0.01,-1.44
0.47,-0.80,0.01,-1.44
0.64,1.43,-70.90,-2.35
0.80,40.17,-89.43,3.18
0.96,43.85,-89.68,-7.15
1.11,36.80,-88.62,-12.19
1.28,48.12,-90.26,-6.24
1.43,46.33,-90.07,-2.76
1.59,46.32,-90.19,-0.72
1.74,45.93,-89.83,-0.95
1.90,-1.90,-77.16,-77.26
2.06,47.40,-77.63,32.45
2.22,77.10,-76.66,10.55
2.37,87.32,-81.74,12.80
2.53,100.52,-84.83,9.70
2.69,134.28,-88.06,4.53
2.86,129.74,-87.93,4.84
3.01,122.37,-86.39,4.74
3.17,110.10,-86.79,6.58
3.33,96.87,-88.86,10.20
3.49,79.31,-88.89,12.94
3.64,62.86,-88.96,15.06
3.80,52.05,-89.53,16.72
3.96,44.64,-89.11,17.31
4.12,40.82,-89.06,17.60
4.29,41.15,-89.27,17.69
4.43,43.29,-89.31,17.47
4.59,58.81,-89.89,15.78
4.75,62.89,-89.42,14.91
4.91,67.92,-89.48,14.31
5.06,72.68,-89.97,14.01
5.22,72.81,-90.01,14.03
5.38,72.85,-90.03,14.04
5.54,72.81,-90.03,14.02
5.69,72.83,-90.00,13.99
5.85,72.84,-90.03,14.01
6.01,72.86,-90.01,13.99
6.16,72.85,-89.99,13.96
6.33,72.83,-90.01,13.97
6.49,72.82,-90.02,13.98
6.65,72.87,-90.01,13.98
6.81,72.87,-90.01,13.97
6.96,72.86,-90.01,13.97
7.12,72.85,-90.00,13.96
7.30,72.84,-89.98,13.95
7.45,72.86,-89.93,13.90
7.60,72.89,-89.91,13.87
7.76,72.89,-89.86,13.81
7.92,72.84,-89.82,13.77
8.08,72.79,-89.78,13.74
8.23,72.72,-89.73,13.70
8.39,72.66,-89.71,13.69
8.56,50.99,-87.24,14.20
8.72,27.97,-89.10,16.67
8.89,-2.14,-117.85,21.43
9.03,27.97,-160.26,30.62
9.19,61.99,-179.50,28.21
9.35,58.51,-179.21,25.56
9.51,60.86,-178.19,34.04
9.66,48.98,-177.43,34.95
9.82,57.08,-178.00,24.75
9.99,69.66,178.92,27.82
10.15,59.89,-179.39,35.25
10.30,51.38,-177.38,31.48
10.46,58.83,-177.39,24.78
10.62,63.62,179.81,29.86
10.78,62.24,-179.90,32.57
10.95,66.97,178.04,37.59
11.10,48.76,179.11,38.32
11.26,56.74,-179.03,29.04
11.42,63.39,179.88,27.10
11.58,52.04,-177.87,23.97
11.73,49.31,-178.27,26.77
11.89,51.98,-179.18,32.72
12.05,53.79,178.81,35.38
12.19,51.68,179.44,33.78
12.35,52.67,-178.39,32.14
12.51,57.39,179.28,36.51
12.67,55.24,178.21,37.61
12.82,74.30,176.79,-4.77
12.98,55.83,178.93,-24.78
13.14,103.41,-173.77,-22.71
13.30,135.78,-163.11,-13.24
13.47,134.72,-165.13,-11.71
13.62,121.37,178.98,-5.43
13.77,104.51,177.42,-6.01
13.94,86.21,178.76,-9.12
14.10,75.99,179.11,-10.59
14.25,66.15,179.23,-11.82
14.40,64.24,178.70,-11.45
14.56,64.19,178.67,-11.42
14.71,62.25,178.94,-11.84
14.87,58.38,178.21,-11.51
15.03,57.99,178.18,-11.49
15.20,58.01,178.17,-11.47
15.36,58.05,178.18,-11.46
15.51,58.32,178.30,-11.48
15.67,58.74,178.61,-11.60
15.83,58.89,178.63,-11.56
15.99,63.32,-178.75,-13.02
16.14,65.45,-178.66,-12.80
16.31,65.48,-178.70,-12.72
16.47,65.57,-178.70,-12.70
16.63,65.61,-178.67,-12.73
16.78,65.66,-178.65,-12.75
16.94,69.57,-178.08,-12.69
17.10,75.92,-179.84,-10.34
17.27,76.07,-179.67,-10.55
17.41,76.06,-179.57,-10.66
17.57,76.08,-179.54,-10.70
17.73,76.11,-179.51,-10.73
17.89,76.07,-179.47,-10.78
18.04,76.12,-179.43,-10.83
18.20,76.12,-179.41,-10.85
18.36,76.10,-179.41,-10.86
18.52,76.08,-179.47,-10.80
18.68,75.00,180.00,-10.57
18.84,43.59,177.02,-10.68
19.00,27.64,166.21,-7.00
19.16,21.05,108.07,12.13
19.32,58.26,89.92,15.53
19.47,53.25,91.29,20.11
19.63,47.33,93.16,33.21
19.79,59.15,93.50,41.75
19.95,53.71,93.07,29.21
20.10,53.55,93.08,15.99
20.26,55.87,93.06,15.31
20.42,58.89,90.38,24.69
20.56,52.76,91.83,25.25
20.73,54.09,91.32,24.18
20.89,53.28,92.06,22.49
21.05,65.02,89.01,32.49
21.21,54.67,89.17,39.08
21.36,59.54,90.80,35.20
21.52,61.55,89.19,38.91
21.69,54.93,89.39,39.53
21.84,61.49,90.55,36.00
22.00,56.51,88.58,41.11
22.16,59.25,91.09,34.42
22.32,60.86,90.61,34.26
22.48,54.67,91.77,31.10
22.63,55.25,91.93,28.16
22.79,68.30,90.11,-7.12
22.95,59.24,96.49,-32.50
23.11,109.48,103.63,-17.77
23.28,143.90,111.77,-8.02
23.42,138.62,106.41,-6.89
23.58,131.58,96.44,-2.57
23.74,130.22,95.85,-2.27
23.90,129.70,95.93,-2.32
24.05,129.09,95.92,-2.34
24.21,128.44,95.94,-2.37
24.37,127.82,95.98,-2.42
24.52,127.15,95.81,-2.33
24.68,122.63,91.25,0.62
24.84,120.02,89.92,1.62
25.01,-37.99,91.62,3.56
25.17,-28.29,93.52,-2.73
25.32,11.58,60.67,10.62
25.48,-30.00,10.79,32.96
25.64,23.10,9.10,25.46
25.80,46.62,9.80,5.85
25.96,23.65,11.76,-16.34
26.12,56.10,1.85,22.69
26.28,49.65,1.35,48.24
26.44,52.14,0.37,40.42
26.60,64.77,0.12,26.04
26.75,72.41,0.02,28.69
26.91,51.63,1.48,35.10
27.06,54.76,2.74,28.00
27.23,62.02,2.24,25.53
27.38,63.26,-1.06,30.58
27.54,60.88,0.16,31.30
27.70,57.79,1.17,26.54
27.87,56.39,0.84,25.74
28.01,63.31,-1.77,31.41
28.18,54.34,-0.57,35.02
28.34,56.91,0.87,33.86
28.50,57.54,-1.05,35.24
28.65,54.37,0.52,32.54
28.81,55.14,1.14,30.60
28.97,56.96,0.14,33.37
29.13,53.84,0.18,33.97
29.28,56.36,-0.52,33.38
29.44,69.17,3.25,-24.26
29.60,78.05,9.11,-22.72
29.76,102.40,10.85,-12.12
29.92,120.84,4.01,-2.66
30.07,121.08,3.92,-2.47
30.23,112.91,0.64,-0.13
30.39,107.08,0.72,-0.32
30.55,103.74,0.48,-0.15
30.70,102.94,0.43,-0.12
30.87,101.65,0.36,-0.06
31.03,100.31,0.25,0.03
31.17,99.22,0.21,0.06
31.33,98.47,0.18,0.08
31.49,97.99,0.16,0.09
31.65,97.62,0.16,0.09
31.82,97.35,0.12,0.11
31.96,97.06,0.11,0.13
32.13,96.48,-0.11,0.35
32.30,95.42,-0.21,0.49
32.44,95.12,-0.21,0.49
32.60,94.89,-0.22,0.49
32.76,94.64,-0.21,0.48
32.92,94.43,-0.22,0.49
33.07,94.22,-0.25,0.51
33.23,93.92,-0.29,0.54
33.39,93.64,-0.29,0.54
33.55,93.33,-0.30,0.54
33.70,92.98,-0.31,0.54
33.86,92.70,-0.33,0.56
34.02,92.45,-0.36,0.60
34.19,26.03,-0.23,1.49
34.36,-43.43,1.67,0.20
34.50,5.00,-16.67,-1.50
34.66,-17.34,-75.54,32.30
34.82,4.87,-81.80,29.08
34.99,46.02,-79.97,4.51
35.14,30.08,-77.41,-20.09
35.30,42.90,-77.07,6.77
35.46,54.96,-89.89,44.64
35.62,57.47,-88.57,40.25
35.78,57.44,-88.46,26.84
