Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,0.00,0.01,0.01
0.15,0.00,0.00,0.00
0.31,0.00,0.01,0.01
0.47,0.00,0.01,0.01
0.64,17.45,6.12,18.50
0.80,24.47,-1.32,24.51
0.96,18.64,-3.35,18.94
1.11,40.34,-1.26,40.36
1.28,69.22,-2.73,69.27
1.43,76.22,-0.53,76.22
1.59,99.64,-0.94,99.65
1.74,111.72,-0.64,111.72
1.90,8.32,8.52,11.91
2.06,42.75,40.31,58.76
2.22,61.47,25.64,66.61
2.37,41.96,13.00,43.93
2.53,34.33,9.83,35.71
2.69,12.33,2.79,12.64
2.86,-3.80,-0.91,3.90
3.01,-5.11,-1.11,5.23
3.17,-10.21,-2.94,10.62
3.33,-8.03,-1.84,8.23
3.49,-12.37,-2.74,12.67
3.64,-10.11,-2.11,10.33
3.80,-4.76,-0.72,4.82
3.96,-8.52,-1.17,8.60
4.12,-1.58,-0.20,1.59
4.29,-0.59,-0.10,0.60
4.43,4.54,0.64,4.59
4.59,8.40,1.39,8.51
4.75,2.73,0.43,2.77
4.91,1.16,0.21,1.18
5.06,1.12,0.20,1.13
5.22,0.50,0.09,0.51
5.38,0.28,0.05,0.28
5.54,0.19,0.04,0.20
5.69,0.14,0.04,0.15
5.85,0.11,0.02,0.12
6.01,0.09,0.02,0.10
6.16,0.08,0.02,0.08
6.33,0.08,0.00,0.08
6.49,0.06,0.01,0.06
6.65,0.06,0.02,0.06
6.81,0.05,0.01,0.05
6.96,0.05,0.00,0.05
7.12,0.05,0.01,0.05
7.30,0.05,0.01,0.05
7.45,0.05,0.00,0.05
7.60,-0.01,0.00,0.01
7.76,0.01,0.00,0.01
7.92,0.00,0.00,0.00
8.08,-0.02,0.00,0.02
8.23,-0.01,-0.01,0.02
8.39,0.00,0.00,0.00
8.56,-34.48,-5.80,34.97
8.72,-18.95,-1.61,19.02
8.89,-2.84,1.56,3.24
9.03,19.07,-32.86,37.99
9.19,2.22,-11.54,11.75
9.35,1.43,-7.10,7.24
9.51,3.20,-3.30,4.60
9.66,8.25,-26.56,27.82
9.82,9.48,-33.65,34.96
9.99,11.89,-29.10,31.44
10.15,7.05,-23.29,24.34
10.30,14.56,-48.13,50.28
10.46,17.11,-53.05,55.74
10.62,17.12,-52.13,54.87
10.78,16.80,-47.37,50.26
10.95,16.11,-41.31,44.34
11.10,14.69,-56.79,58.66
11.26,22.97,-77.56,80.89
11.42,24.00,-84.05,87.41
11.58,25.26,-103.66,106.70
11.73,23.88,-94.65,97.61
11.89,25.04,-81.01,84.79
12.05,25.03,-90.05,93.47
12.19,23.49,-86.71,89.84
12.35,25.97,-80.61,84.69
12.51,26.66,-78.47,82.88
12.67,26.41,-80.55,84.77
12.82,-28.68,-64.09,70.22
12.98,-21.98,-76.35,79.45
13.14,-24.74,-48.34,54.30
13.30,-5.18,-16.67,17.46
13.47,2.02,7.82,8.08
13.62,1.49,9.08,9.20
13.77,2.54,13.38,13.62
13.94,2.19,10.80,11.02
14.10,1.33,7.96,8.07
14.25,0.72,4.81,4.87
14.40,0.16,1.12,1.13
14.56,0.07,0.45,0.45
14.71,0.34,1.96,1.99
14.87,0.38,1.95,1.99
15.03,0.02,0.12,0.12
15.20,0.00,0.07,0.07
15.36,0.00,-0.02,0.02
15.51,0.02,-0.26,0.26
15.67,-0.03,-0.12,0.12
15.83,-0.02,-0.05,0.05
15.99,-1.10,-8.56,8.63
16.14,-0.25,-1.94,1.96
16.31,-0.13,-1.03,1.04
16.47,-0.09,-0.70,0.71
16.63,-0.07,-0.54,0.54
16.78,-0.06,-0.44,0.45
16.94,-0.53,-4.47,4.50
17.10,-0.29,-2.29,2.31
17.27,-0.12,-0.93,0.93
17.41,-0.06,-0.58,0.58
17.57,-0.05,-0.43,0.43
17.73,-0.04,-0.33,0.33
17.89,-0.03,-0.27,0.28
18.04,-0.02,-0.24,0.24
18.20,-0.02,-0.21,0.21
18.36,-0.02,-0.15,0.15
18.52,-0.02,-0.15,0.16
18.68,-0.10,4.49,4.49
18.84,3.00,22.47,22.67
19.00,6.70,26.84,27.66
19.16,-27.95,-11.29,30.14
19.32,-10.56,0.23,10.56
19.47,-7.10,-3.74,8.03
19.63,-15.29,-8.58,17.53
19.79,-14.68,-7.45,16.46
19.95,-29.90,-5.47,30.40
20.10,-43.75,-5.94,44.15
20.26,-48.34,-12.01,49.81
20.42,-60.30,-15.76,62.33
